"","Member_number","Date","itemDescription"
"2168",4301,2015-05-01,"cereal"
"2169",2997,2015-12-30,"citrus fruit"
"2170",1098,2015-08-05,"tropical fruit"
"2171",2208,2015-07-30,"pork"
"2172",3672,2015-05-28,"whole milk"
"2173",3651,2015-01-24,"hamburger meat"
"2174",3957,2015-05-15,"frankfurter"
"2175",2986,2015-01-11,"cereal"
"2176",4433,2015-05-25,"beer"
"2177",3822,2015-05-27,"ham"
"2178",4588,2015-04-30,"bottled beer"
"2179",2622,2015-07-17,"pip fruit"
"2180",2117,2015-05-02,"pasta"
"2181",1780,2015-07-12,"pip fruit"
"2182",3819,2015-04-12,"pork"
"2183",1884,2015-12-11,"frankfurter"
"2184",2595,2015-01-23,"rolls/buns"
"2185",3046,2015-03-31,"cereal"
"2186",3228,2015-01-26,"tropical fruit"
"2187",2251,2015-06-23,"chicken"
"2188",2368,2015-11-11,"whole milk"
"2189",2573,2015-01-03,"ham"
"2190",4701,2015-04-30,"soda"
"2191",4384,2015-05-25,"chicken"
"2192",1998,2015-05-18,"canned beer"
"2193",4583,2015-02-23,"pip fruit"
"2194",2043,2015-04-21,"tropical fruit"
"2195",2201,2015-05-22,"domestic eggs"
"2196",3522,2015-09-23,"meat"
"2197",3922,2015-08-28,"citrus fruit"
"2198",2636,2015-09-11,"cereal"
"2199",1092,2015-07-27,"rolls/buns"
"2200",2711,2015-09-13,"light bulbs"
"2201",3899,2015-04-22,"rolls/buns"
"2202",4372,2015-07-30,"meat"
"2203",4576,2015-08-05,"root vegetables"
"2204",4953,2015-10-10,"tropical fruit"
"2205",4692,2015-10-27,"citrus fruit"
"2206",1170,2015-11-12,"whole milk"
"2207",2625,2015-04-08,"margarine"
"2208",2394,2015-08-30,"hamburger meat"
"2209",4277,2015-02-18,"dessert"
"2210",3170,2015-01-17,"beef"
"2211",2229,2015-10-25,"beer"
"2212",2944,2015-02-01,"tropical fruit"
"2213",2582,2015-03-06,"chicken"
"2214",1373,2015-05-10,"brown bread"
"2215",1366,2015-10-25,"cereal"
"2216",3469,2015-05-10,"hamburger meat"
"2217",4012,2015-05-16,"pork"
"2218",2031,2015-02-26,"cereal"
"2219",2459,2015-09-16,"soda"
"2220",4377,2015-02-23,"sweet spreads"
"2221",1534,2015-08-13,"pastry"
"2222",2051,2015-07-23,"beer"
"2223",3430,2015-01-26,"root vegetables"
"2224",1567,2015-03-13,"whipped/sour cream"
"2225",2972,2015-05-21,"whole milk"
"2226",1287,2015-08-28,"whole milk"
"2227",4776,2015-08-08,"citrus fruit"
"2228",2271,2015-08-04,"beer"
"2229",4657,2015-08-15,"pork"
"2230",2344,2015-04-14,"pip fruit"
"2231",1482,2015-07-06,"bottled beer"
"2232",1278,2015-12-09,"beer"
"2233",4831,2015-11-13,"whole milk"
"2234",1819,2015-11-11,"pastry"
"2235",2687,2015-07-31,"cereal"
"2236",4468,2015-03-24,"cereal"
"2237",4760,2015-04-02,"salty snack"
"2238",2310,2015-03-24,"dessert"
"2239",3924,2015-02-07,"pork"
"2240",3517,2015-12-11,"frankfurter"
"2241",3164,2015-09-30,"butter"
"2242",3245,2015-05-17,"beer"
"2243",2629,2015-12-06,"liver loaf"
"2244",1347,2015-09-15,"frankfurter"
"2245",1216,2015-08-25,"whole milk"
"2246",4636,2015-04-10,"frankfurter"
"2247",1197,2015-11-22,"root vegetables"
"2248",1100,2015-03-12,"soda"
"2249",2054,2015-12-15,"butter"
"2250",3761,2015-09-26,"cat food"
"2251",4947,2015-09-14,"chewing gum"
"2252",1032,2015-06-15,"berries"
"2253",3353,2015-08-14,"beer"
"2254",4466,2015-08-20,"yogurt"
"2255",2081,2015-01-22,"tropical fruit"
"2256",1800,2015-05-02,"whole milk"
"2257",3414,2015-10-23,"curd"
"2258",2799,2015-08-12,"whole milk"
"2259",1634,2015-12-03,"bottled water"
"2260",3481,2015-03-22,"soda"
"2261",3691,2015-08-24,"cereal"
"2262",2811,2015-02-11,"oil"
"2263",2758,2015-11-19,"hamburger meat"
"2264",2872,2015-09-19,"onions"
"2265",3339,2015-10-08,"pork"
"2266",3483,2015-10-28,"pip fruit"
"2267",3255,2015-04-29,"pork"
"2268",3462,2015-11-15,"citrus fruit"
"2269",1355,2015-02-28,"yogurt"
"2270",2952,2015-11-25,"frankfurter"
"2271",2171,2015-06-19,"frankfurter"
"2272",2693,2015-11-02,"brown bread"
"2273",1348,2015-06-13,"root vegetables"
"2274",1112,2015-04-09,"dish cleaner"
"2275",2058,2015-02-24,"yogurt"
"2276",2003,2015-11-23,"cereal"
"2277",2166,2015-03-12,"sauces"
"2278",3113,2015-06-18,"brown bread"
"2279",2830,2015-06-22,"citrus fruit"
"2280",3582,2015-06-17,"cream cheese "
"2281",4572,2015-08-19,"beverages"
"2282",1373,2015-07-19,"curd"
"2283",2513,2015-11-06,"ice cream"
"2284",3050,2015-12-15,"hard cheese"
"2285",2563,2015-08-03,"detergent"
"2286",1055,2015-05-25,"bottled water"
"2287",1887,2015-11-09,"soda"
"2288",2391,2015-01-03,"pip fruit"
"2289",3347,2015-04-24,"whole milk"
"2290",4873,2015-09-03,"waffles"
"2291",1571,2015-05-24,"cereal"
"2292",3571,2015-10-21,"chicken"
"2293",4348,2015-04-11,"beverages"
"2294",2400,2015-02-06,"ice cream"
"2295",2867,2015-06-25,"butter"
"2296",2672,2015-07-12,"beverages"
"2297",1659,2015-08-07,"frankfurter"
"2298",4104,2015-11-30,"detergent"
"2299",1465,2015-02-03,"cereal"
"2300",3436,2015-03-27,"chicken"
"2301",4503,2015-02-17,"yogurt"
"2302",3812,2015-07-28,"whole milk"
"2303",2759,2015-07-27,"yogurt"
"2304",2019,2015-11-14,"whipped/sour cream"
"2305",3201,2015-01-24,"whole milk"
"2306",1861,2015-08-12,"citrus fruit"
"2307",4524,2015-12-10,"whole milk"
"2308",2680,2015-08-11,"citrus fruit"
"2309",3413,2015-01-31,"pork"
"2310",4354,2015-01-16,"beverages"
"2311",3608,2015-11-27,"UHT-milk"
"2312",3518,2015-10-26,"beef"
"2313",3542,2015-07-11,"beer"
"2314",2579,2015-04-08,"whole milk"
"2315",2650,2015-11-22,"frankfurter"
"2316",3499,2015-01-13,"yogurt"
"2317",2804,2015-01-18,"canned beer"
"2318",2975,2015-10-09,"canned beer"
"2319",1783,2015-01-05,"beer"
"2320",1116,2015-11-29,"frankfurter"
"2321",2578,2015-11-26,"canned beer"
"2322",4003,2015-12-23,"pork"
"2323",3021,2015-01-30,"frankfurter"
"2324",3791,2015-01-23,"chocolate"
"2325",1242,2015-04-04,"citrus fruit"
"2326",2290,2015-07-03,"specialty fat"
"2327",4204,2015-05-06,"spread cheese"
"2328",4100,2015-03-01,"whole milk"
"2329",3085,2015-07-11,"whole milk"
"2330",1944,2015-08-31,"whole milk"
"2331",3845,2015-09-19,"hygiene articles"
"2332",2077,2015-03-01,"beef"
"2333",1128,2015-07-05,"meat"
"2334",4130,2015-04-05,"beef"
"2335",2496,2015-12-02,"pip fruit"
"2336",3764,2015-08-01,"beer"
"2337",2369,2015-10-17,"hamburger meat"
"2338",4662,2015-08-25,"rolls/buns"
"2339",4392,2015-08-13,"instant coffee"
"2340",3259,2015-02-15,"canned beer"
"2341",1839,2015-10-09,"pork"
"2342",4376,2015-11-22,"pork"
"2343",1934,2015-02-03,"tropical fruit"
"2344",1158,2015-08-25,"whole milk"
"2345",2784,2015-03-19,"frankfurter"
"2346",4954,2015-06-10,"beverages"
"2347",2060,2015-07-26,"pip fruit"
"2348",4556,2015-01-10,"pip fruit"
"2349",2433,2015-12-27,"frankfurter"
"2350",1843,2015-02-24,"cereal"
"2351",1793,2015-09-21,"long life bakery product"
"2352",3640,2015-10-08,"bottled water"
"2353",2795,2015-03-12,"beef"
"2354",2044,2015-09-26,"domestic eggs"
"2355",4742,2015-04-05,"oil"
"2356",3584,2015-03-14,"meat"
"2357",1957,2015-01-31,"processed cheese"
"2358",3483,2015-03-20,"cereal"
"2359",3883,2015-10-05,"citrus fruit"
"2360",2474,2015-02-09,"frozen vegetables"
"2361",3148,2015-03-09,"cereal"
"2362",1767,2015-10-24,"pastry"
"2363",4601,2015-07-22,"pork"
"2364",3181,2015-03-22,"berries"
"2365",2261,2015-04-11,"whole milk"
"2366",1656,2015-02-14,"ham"
"2367",4134,2015-05-05,"packaged fruit/vegetables"
"2368",2254,2015-01-21,"packaged fruit/vegetables"
"2369",1517,2015-08-01,"rolls/buns"
"2370",2176,2015-08-06,"whole milk"
"2371",4255,2015-09-02,"whole milk"
"2372",1780,2015-09-21,"cereal"
"2373",1275,2015-10-18,"white bread"
"2374",2159,2015-04-30,"rolls/buns"
"2375",4153,2015-07-27,"bottled water"
"2376",1553,2015-07-21,"beer"
"2377",2072,2015-11-28,"frankfurter"
"2378",2964,2015-02-05,"frankfurter"
"2379",3974,2015-03-05,"frankfurter"
"2380",4848,2015-10-14,"rolls/buns"
"2381",1605,2015-07-06,"cereal"
"2382",2082,2015-11-23,"brown bread"
"2383",2477,2015-06-04,"UHT-milk"
"2384",1508,2015-03-10,"pip fruit"
"2385",2682,2015-06-16,"whole milk"
"2386",1012,2015-03-27,"processed cheese"
"2387",3591,2015-09-02,"hamburger meat"
"2388",2004,2015-01-08,"beef"
"2389",4272,2015-03-22,"whole milk"
"2390",1900,2015-09-24,"hamburger meat"
"2391",3483,2015-11-22,"pasta"
"2392",4686,2015-09-14,"tropical fruit"
"2393",3757,2015-06-24,"whole milk"
"2394",3484,2015-10-10,"cereal"
"2395",4314,2015-05-02,"rolls/buns"
"2396",1204,2015-07-23,"sliced cheese"
"2397",1355,2015-03-28,"rolls/buns"
"2398",3463,2015-05-16,"cereal"
"2399",3548,2015-03-19,"pastry"
"2400",2271,2015-01-02,"rolls/buns"
"2401",2275,2015-05-19,"pork"
"2402",1275,2015-07-16,"beer"
"2403",4577,2015-11-04,"domestic eggs"
"2404",2286,2015-11-21,"ham"
"2405",4287,2015-08-06,"soda"
"2406",1781,2015-06-06,"specialty chocolate"
"2407",2840,2015-08-07,"pork"
"2408",2585,2015-02-13,"beer"
"2409",2958,2015-01-27,"onions"
"2410",3788,2015-02-16,"tropical fruit"
"2411",3061,2015-12-05,"pip fruit"
"2412",1531,2015-01-19,"cereal"
"2413",3451,2015-08-31,"rolls/buns"
"2414",3119,2015-06-28,"hamburger meat"
"2415",4015,2015-03-27,"citrus fruit"
"2416",2869,2015-04-29,"whole milk"
"2417",4814,2015-02-12,"root vegetables"
"2418",2978,2015-11-25,"chewing gum"
"2419",4789,2015-04-09,"beef"
"2420",2151,2015-08-03,"rolls/buns"
"2421",2390,2015-08-21,"citrus fruit"
"2422",3634,2015-12-02,"snack products"
"2423",3394,2015-12-13,"cereal"
"2424",1874,2015-06-08,"mustard"
"2425",4671,2015-08-01,"cereal"
"2426",3647,2015-03-03,"frozen meals"
"2427",1275,2015-02-17,"cereal"
"2428",3306,2015-09-28,"spread cheese"
"2429",1087,2015-03-19,"cereal"
"2430",3210,2015-12-23,"herbs"
"2431",1136,2015-01-03,"tropical fruit"
"2432",3050,2015-06-21,"frankfurter"
"2433",4406,2015-02-01,"domestic eggs"
"2434",4277,2015-08-09,"cereal"
"2435",2500,2015-12-06,"citrus fruit"
"2436",4704,2015-08-19,"pip fruit"
"2437",4470,2015-12-23,"onions"
"2438",4747,2015-08-24,"frankfurter"
"2439",2550,2015-04-20,"shopping bags"
"2440",4783,2015-10-10,"bottled beer"
"2441",2117,2015-11-07,"frankfurter"
"2442",4510,2015-09-03,"whole milk"
"2443",4258,2015-12-11,"soda"
"2444",3535,2015-01-18,"beef"
"2445",3095,2015-08-16,"bottled water"
"2446",4625,2015-04-07,"cereal"
"2447",2014,2015-06-23,"ice cream"
"2448",1677,2015-12-09,"tropical fruit"
"2449",4743,2015-07-04,"whole milk"
"2450",4212,2015-03-31,"yogurt"
"2451",1087,2015-08-14,"herbs"
"2452",3682,2015-10-12,"whole milk"
"2453",2406,2015-03-10,"meat"
"2454",3915,2015-01-21,"frankfurter"
"2455",1901,2015-05-04,"citrus fruit"
"2456",4992,2015-05-23,"canned beer"
"2457",4308,2015-04-07,"chicken"
"2458",1566,2015-06-05,"yogurt"
"2459",2839,2015-10-31,"beef"
"2460",4666,2015-10-19,"whipped/sour cream"
"2461",2325,2015-04-16,"pip fruit"
"2462",4238,2015-03-08,"frankfurter"
"2463",1983,2015-05-20,"soda"
"2464",4798,2015-11-21,"pip fruit"
"2465",3703,2015-06-16,"citrus fruit"
"2466",1456,2015-07-19,"whole milk"
"2467",3309,2015-09-02,"root vegetables"
"2468",1983,2015-08-09,"cereal"
"2469",2676,2015-04-07,"liver loaf"
"2470",1017,2015-09-30,"soda"
"2471",3793,2015-08-07,"root vegetables"
"2472",1609,2015-05-03,"beer"
"2473",3459,2015-01-23,"tropical fruit"
"2474",1192,2015-01-09,"butter"
"2475",3044,2015-01-05,"cereal"
"2476",3661,2015-11-27,"butter"
"2477",1188,2015-01-09,"whole milk"
"2478",1865,2015-08-02,"beer"
"2479",1692,2015-06-28,"whole milk"
"2480",3577,2015-05-12,"white bread"
"2481",4951,2015-03-13,"pork"
"2482",1714,2015-08-02,"whipped/sour cream"
"2483",1610,2015-05-26,"yogurt"
"2484",4652,2015-04-08,"butter milk"
"2485",4020,2015-04-11,"yogurt"
"2486",2633,2015-11-27,"beer"
"2487",4305,2015-07-24,"pastry"
"2488",2416,2015-02-15,"yogurt"
"2489",3124,2015-04-09,"citrus fruit"
"2490",1422,2015-05-31,"condensed milk"
"2491",2101,2015-01-07,"root vegetables"
"2492",2876,2015-10-30,"beer"
"2493",2684,2015-01-11,"citrus fruit"
"2494",2377,2015-04-16,"frankfurter"
"2495",2394,2015-02-17,"cereal"
"2496",4320,2015-01-13,"beer"
"2497",1009,2015-10-05,"herbs"
"2498",1460,2015-01-13,"ham"
"2499",1821,2015-04-20,"root vegetables"
"2500",3182,2015-10-15,"soda"
"2501",1526,2015-11-26,"cereal"
"2502",2070,2015-07-16,"frankfurter"
"2503",2534,2015-05-18,"bottled water"
"2504",3794,2015-04-28,"meat"
"2505",1405,2015-02-28,"ham"
"2506",4544,2015-01-07,"sugar"
"2507",2494,2015-06-10,"chicken"
"2508",3322,2015-02-02,"UHT-milk"
"2509",3655,2015-02-16,"beef"
"2510",2918,2015-04-08,"ham"
"2511",2584,2015-03-31,"rolls/buns"
"2512",2212,2015-04-16,"citrus fruit"
"2513",3176,2015-08-01,"citrus fruit"
"2514",4564,2015-06-13,"cat food"
"2515",4556,2015-08-17,"hard cheese"
"2516",4573,2015-10-10,"frankfurter"
"2517",2781,2015-04-10,"bottled beer"
"2518",3316,2015-01-03,"yogurt"
"2519",1827,2015-05-02,"frankfurter"
"2520",4889,2015-02-03,"rolls/buns"
"2521",3548,2015-06-01,"whole milk"
"2522",2736,2015-07-17,"meat"
"2523",4927,2015-10-19,"curd"
"2524",3214,2015-12-22,"beverages"
"2525",3275,2015-06-18,"frankfurter"
"2526",2909,2015-05-08,"cereal"
"2527",4226,2015-12-06,"cereal"
"2528",1622,2015-03-11,"meat"
"2529",1395,2015-10-12,"cereal"
"2530",2938,2015-06-06,"whole milk"
"2531",3674,2015-08-13,"canned beer"
"2532",2063,2015-11-08,"frankfurter"
"2533",4214,2015-10-07,"long life bakery product"
"2534",3042,2015-01-16,"pork"
"2535",3877,2015-09-17,"pip fruit"
"2536",2168,2015-11-25,"bottled beer"
"2537",1503,2015-05-12,"pork"
"2538",2769,2015-04-23,"bottled water"
"2539",4933,2015-02-27,"whole milk"
"2540",3082,2015-05-22,"curd"
"2541",1422,2015-01-01,"tropical fruit"
"2542",3139,2015-02-26,"pip fruit"
"2543",2200,2015-03-08,"chicken"
"2544",4670,2015-08-31,"whole milk"
"2545",2053,2015-09-21,"citrus fruit"
"2546",4847,2015-02-03,"canned beer"
"2547",1185,2015-08-24,"pip fruit"
"2548",4656,2015-12-25,"photo/film"
"2549",2741,2015-09-11,"root vegetables"
"2550",2654,2015-08-17,"frankfurter"
"2551",2010,2015-12-19,"yogurt"
"2552",2586,2015-07-10,"UHT-milk"
"2553",3511,2015-11-15,"organic cereal"
"2554",4700,2015-06-06,"whole milk"
"2555",2235,2015-01-20,"meat"
"2556",2557,2015-10-23,"pork"
"2557",3462,2015-02-16,"coffee"
"2558",1356,2015-04-02,"soft cheese"
"2559",1477,2015-11-20,"cereal"
"2560",3094,2015-06-13,"cereal"
"2561",3981,2015-12-25,"finished products"
"2562",1340,2015-01-23,"whole milk"
"2563",4015,2015-01-10,"curd"
"2564",1719,2015-09-10,"coffee"
"2565",1542,2015-05-15,"tropical fruit"
"2566",1357,2015-04-10,"soda"
"2567",4003,2015-11-21,"whole milk"
"2568",4224,2015-12-06,"bottled beer"
"2569",1292,2015-07-05,"oil"
"2570",4018,2015-04-28,"hamburger meat"
"2571",2721,2015-07-15,"yogurt"
"2572",4016,2015-04-21,"pork"
"2573",3654,2015-12-16,"frankfurter"
"2574",3745,2015-08-26,"cereal"
"2575",2851,2015-09-16,"canned beer"
"2576",1474,2015-07-29,"frankfurter"
"2577",3623,2015-02-05,"beef"
"2578",1647,2015-12-20,"yogurt"
"2579",1312,2015-02-09,"long life bakery product"
"2580",1218,2015-06-13,"beer"
"2581",4745,2015-12-24,"pastry"
"2582",4994,2015-02-08,"cereal"
"2583",1465,2015-11-09,"canned beer"
"2584",2380,2015-01-07,"cereal"
"2585",1150,2015-05-25,"canned beer"
"2586",4371,2015-06-21,"finished products"
"2587",4668,2015-02-01,"beer"
"2588",2167,2015-05-29,"pork"
"2589",3534,2015-03-09,"beef"
"2590",3399,2015-07-12,"specialty bar"
"2591",1144,2015-08-13,"canned beer"
"2592",2136,2015-02-10,"bottled beer"
"2593",1888,2015-04-10,"ham"
"2594",4990,2015-12-14,"tropical fruit"
"2595",1731,2015-11-20,"chicken"
"2596",4632,2015-10-04,"pork"
"2597",3035,2015-11-29,"yogurt"
"2598",4376,2015-07-22,"chicken"
"2599",3760,2015-06-04,"cereal"
"2600",1135,2015-02-24,"hard cheese"
"2601",3132,2015-08-12,"long life bakery product"
"2602",1252,2015-03-11,"chicken"
"2603",3698,2015-08-24,"frankfurter"
"2604",1442,2015-07-25,"pastry"
"2605",1160,2015-01-24,"shopping bags"
"2606",1451,2015-01-27,"tropical fruit"
"2607",2785,2015-02-01,"frozen meals"
"2608",3159,2015-01-31,"whole milk"
"2609",3205,2015-01-17,"pork"
"2610",2703,2015-03-27,"hamburger meat"
"2611",1115,2015-01-22,"beer"
"2612",2632,2015-05-24,"domestic eggs"
"2613",2729,2015-07-23,"hamburger meat"
"2614",4334,2015-11-10,"berries"
"2615",1009,2015-09-23,"pastry"
"2616",3098,2015-09-04,"cereal"
"2617",1489,2015-03-07,"frozen vegetables"
"2618",4240,2015-12-04,"dessert"
"2619",1096,2015-07-28,"pip fruit"
"2620",3120,2015-11-14,"liver loaf"
"2621",1608,2015-11-13,"root vegetables"
"2622",2298,2015-08-16,"root vegetables"
"2623",4646,2015-07-31,"beer"
"2624",3782,2015-02-03,"chicken"
"2625",2448,2015-12-29,"rolls/buns"
"2626",4999,2015-05-16,"butter milk"
"2627",1233,2015-08-13,"butter milk"
"2628",1335,2015-09-13,"onions"
"2629",1889,2015-08-28,"ham"
"2630",3815,2015-09-15,"coffee"
"2631",3976,2015-09-20,"chicken"
"2632",3051,2015-01-23,"whole milk"
"2633",2630,2015-02-15,"frankfurter"
"2634",4182,2015-06-18,"citrus fruit"
"2635",1524,2015-03-05,"tropical fruit"
"2636",2165,2015-09-06,"citrus fruit"
"2637",3710,2015-07-15,"whole milk"
"2638",1859,2015-04-12,"canned beer"
"2639",1682,2015-11-01,"canned beer"
"2640",3682,2015-01-02,"citrus fruit"
"2641",1866,2015-07-13,"chicken"
"2642",1764,2015-11-15,"canned beer"
"2643",2016,2015-08-15,"sugar"
"2644",3758,2015-03-06,"pork"
"2645",1380,2015-04-09,"rolls/buns"
"2646",3063,2015-10-28,"whole milk"
"2647",4782,2015-08-16,"rolls/buns"
"2648",3677,2015-04-21,"mayonnaise"
"2649",2315,2015-09-15,"rolls/buns"
"2650",3548,2015-06-11,"pork"
"2651",3198,2015-05-08,"citrus fruit"
"2652",1436,2015-03-01,"beverages"
"2653",4874,2015-12-23,"napkins"
"2654",4002,2015-08-28,"canned beer"
"2655",2911,2015-07-14,"soda"
"2656",1611,2015-04-04,"bottled beer"
"2657",2561,2015-08-19,"cereal"
"2658",2343,2015-05-30,"cereal"
"2659",1021,2015-11-07,"rolls/buns"
"2660",3484,2015-05-15,"tropical fruit"
"2661",4378,2015-05-04,"frankfurter"
"2662",1751,2015-03-25,"cereal"
"2663",1730,2015-01-24,"cereal"
"2664",4669,2015-06-25,"whole milk"
"2665",1184,2015-06-16,"root vegetables"
"2666",4793,2015-11-04,"cereal"
"2667",4600,2015-02-12,"root vegetables"
"2668",3966,2015-01-11,"tropical fruit"
"2669",3017,2015-09-22,"hamburger meat"
"2670",1834,2015-11-22,"meat"
"2671",4508,2015-06-15,"soda"
"2672",2879,2015-05-26,"frankfurter"
"2673",4643,2015-03-12,"beer"
"2674",3757,2015-02-03,"whole milk"
"2675",1486,2015-08-20,"pastry"
"2676",3018,2015-01-18,"canned beer"
"2677",3600,2015-08-17,"canned beer"
"2678",1239,2015-01-24,"condensed milk"
"2679",1315,2015-11-07,"ham"
"2680",1654,2015-09-28,"cream cheese "
"2681",3551,2015-07-24,"pork"
"2682",2861,2015-12-02,"pastry"
"2683",1170,2015-10-09,"citrus fruit"
"2684",1351,2015-02-26,"meat"
"2685",2645,2015-06-27,"soda"
"2686",4202,2015-05-02,"yogurt"
"2687",2653,2015-03-02,"whipped/sour cream"
"2688",3961,2015-03-05,"cereal"
"2689",2441,2015-05-31,"canned beer"
"2690",3637,2015-12-22,"root vegetables"
"2691",2329,2015-07-15,"pastry"
"2692",3858,2015-03-27,"rolls/buns"
"2693",4294,2015-03-02,"rolls/buns"
"2694",4765,2015-07-01,"frankfurter"
"2695",4017,2015-10-11,"cereal"
"2696",4855,2015-05-01,"liquor"
"2697",2673,2015-12-10,"yogurt"
"2698",3352,2015-07-02,"frankfurter"
"2699",1391,2015-08-21,"ham"
"2700",4352,2015-12-29,"chocolate"
"2701",1298,2015-07-27,"bottled beer"
"2702",1618,2015-08-02,"chicken"
"2703",2433,2015-06-21,"specialty cheese"
"2704",4992,2015-03-01,"frankfurter"
"2705",3515,2015-04-21,"pip fruit"
"2706",1786,2015-02-10,"canned beer"
"2707",3844,2015-06-27,"pork"
"2708",3914,2015-01-08,"canned beer"
"2709",4859,2015-05-10,"beef"
"2710",2747,2015-08-30,"rolls/buns"
"2711",4172,2015-10-08,"dental care"
"2712",1796,2015-08-15,"cereal"
"2713",2524,2015-12-05,"rolls/buns"
"2714",3523,2015-04-01,"whole milk"
"2715",3761,2015-03-30,"beef"
"2716",1830,2015-01-16,"ham"
"2717",4144,2015-04-01,"finished products"
"2718",3803,2015-01-27,"dessert"
"2719",4503,2015-03-22,"rolls/buns"
"2720",2055,2015-05-02,"cereal"
"2721",3634,2015-12-10,"citrus fruit"
"2722",4503,2015-08-09,"whole milk"
"2723",3756,2015-12-02,"whole milk"
"2724",3071,2015-06-13,"cereal"
"2725",3168,2015-12-16,"root vegetables"
"2726",2301,2015-12-24,"organic cereal"
"2727",1270,2015-04-25,"pork"
"2728",3999,2015-11-15,"dessert"
"2729",1603,2015-07-13,"canned beer"
"2730",3089,2015-02-16,"citrus fruit"
"2731",4671,2015-05-30,"hamburger meat"
"2732",2985,2015-05-29,"citrus fruit"
"2733",3318,2015-07-21,"beer"
"2734",3954,2015-02-10,"canned beer"
"2735",1048,2015-10-18,"rolls/buns"
"2736",3586,2015-05-24,"ham"
"2737",4431,2015-11-16,"beverages"
"2738",3977,2015-04-16,"whole milk"
"2739",1799,2015-06-13,"canned beer"
"2740",2609,2015-08-26,"frankfurter"
"2741",4187,2015-04-10,"whole milk"
"2742",3140,2015-02-11,"citrus fruit"
"2743",4942,2015-11-23,"frankfurter"
"2744",3886,2015-11-18,"frankfurter"
"2745",4453,2015-08-23,"yogurt"
"2746",1056,2015-11-09,"whipped/sour cream"
"2747",2700,2015-10-18,"candy"
"2748",1049,2015-09-05,"frankfurter"
"2749",2446,2015-07-29,"chicken"
"2750",4864,2015-07-05,"cereal"
"2751",1483,2015-04-25,"brown bread"
"2752",4158,2015-12-26,"pip fruit"
"2753",2212,2015-10-28,"bottled water"
"2754",1142,2015-06-13,"chicken"
"2755",2273,2015-10-26,"cereal"
"2756",3741,2015-01-23,"chicken"
"2757",3574,2015-06-20,"pork"
"2758",3902,2015-11-29,"ham"
"2759",2169,2015-10-21,"citrus fruit"
"2760",3038,2015-01-11,"rolls/buns"
"2761",2023,2015-02-07,"tropical fruit"
"2762",1038,2015-04-10,"beer"
"2763",3998,2015-01-23,"beer"
"2764",3516,2015-12-13,"photo/film"
"2765",1979,2015-09-09,"pork"
"2766",3635,2015-12-13,"pastry"
"2767",3966,2015-06-01,"frankfurter"
"2768",1430,2015-11-12,"rolls/buns"
"2769",2583,2015-03-26,"berries"
"2770",2055,2015-07-07,"photo/film"
"2771",1092,2015-07-03,"photo/film"
"2772",4138,2015-10-10,"whole milk"
"2773",1515,2015-11-28,"waffles"
"2774",3481,2015-10-04,"cereal"
"2775",2426,2015-06-02,"hamburger meat"
"2776",1886,2015-12-02,"canned beer"
"2777",4861,2015-09-13,"beer"
"2778",2946,2015-11-04,"chicken"
"2779",2349,2015-07-17,"ice cream"
"2780",2326,2015-11-13,"pork"
"2781",2910,2015-07-19,"citrus fruit"
"2782",2103,2015-03-11,"frozen meals"
"2783",3260,2015-12-02,"ham"
"2784",1893,2015-04-04,"hamburger meat"
"2785",3352,2015-11-08,"soda"
"2786",4834,2015-04-27,"frankfurter"
"2787",2476,2015-02-25,"canned beer"
"2788",1013,2015-07-02,"frozen meals"
"2789",3004,2015-02-10,"whole milk"
"2790",1573,2015-01-21,"misc. beverages"
"2791",2089,2015-10-31,"canned beer"
"2792",3077,2015-01-19,"root vegetables"
"2793",3900,2015-07-07,"cereal"
"2794",2470,2015-05-14,"canned beer"
"2795",4785,2015-04-04,"tropical fruit"
"2796",2916,2015-04-19,"pastry"
"2797",3179,2015-03-21,"cereal"
"2798",2285,2015-12-16,"canned beer"
"2799",2617,2015-01-03,"soda"
"2800",1945,2015-04-24,"canned beer"
"2801",4601,2015-12-15,"cat food"
"2802",4722,2015-10-13,"cereal"
"2803",4605,2015-08-13,"bottled water"
"2804",4971,2015-02-19,"soda"
"2805",4725,2015-09-01,"rolls/buns"
"2806",3872,2015-08-07,"pork"
"2807",4280,2015-05-02,"frozen meals"
"2808",4544,2015-01-21,"soda"
"2809",4839,2015-06-03,"pastry"
"2810",2785,2015-08-04,"shopping bags"
"2811",1594,2015-01-23,"brown bread"
"2812",4675,2015-01-16,"yogurt"
"2813",1321,2015-04-13,"bottled beer"
"2814",1535,2015-07-03,"pip fruit"
"2815",4437,2015-06-13,"hamburger meat"
"2816",2249,2015-05-29,"long life bakery product"
"2817",1785,2015-07-24,"ham"
"2818",4635,2015-10-16,"butter"
"2819",4125,2015-06-14,"whole milk"
"2820",3568,2015-08-11,"dessert"
"2821",3575,2015-01-20,"photo/film"
"2822",2691,2015-11-04,"bags"
"2823",3571,2015-06-17,"rolls/buns"
"2824",4648,2015-08-03,"brown bread"
"2825",2085,2015-03-25,"beef"
"2826",4104,2015-01-01,"dessert"
"2827",1143,2015-01-27,"misc. beverages"
"2828",2228,2015-05-30,"sugar"
"2829",3746,2015-07-13,"cereal"
"2830",3934,2015-03-27,"whole milk"
"2831",1329,2015-03-29,"cereal"
"2832",4689,2015-09-07,"canned beer"
"2833",3199,2015-12-24,"citrus fruit"
